CHRONOS:9007208466892659
Found 6394 rows between start time: 1652033978 and end time: 1652883578
Ignoring URN 58072729a9ee3e37607383727731b6e09ecfe280 with reason: XML is not an invoice; this should go away in following runs
Ignoring URN 20400ad6b94d906ba96884144a32e2ac51147149 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN f4973ea4c375c666731cea1858b8a5d1d31eba01 with reason: XML is not an invoice; this should go away in following runs
Ignoring URN 944f925071ecfd16fb46d66db6b5664740908699 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN b677449dd318cc5d08526299338adc84965b1923 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 8d151e57522b2f5e5ebc83596b4155a848affefa with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 43f70e9962e503882685b284a7671fc36a950943 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 17756c0c9449212ed40f32e4864ba50f3a765a6d with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 85a1ed976ae943cf5f7501298efed64850109cd4 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 8b10f68fb76716e99f86747a83154384451a16e4 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 470f23803b9a5d5d9be12e641257d707433eb98e with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN ef95d07e17662a723e23edfb95105e24f2d9320f with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN f6c2aade2f3ce40c4425e40ad75d333ca892e990 with reason: XML is not an invoice; this should go away in following runs
Ignoring URN 8999d433d881bc7b87da0b85395cc8cf5c4466bb with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 8bcf8c99f8556690ef3f41cd87ddfa55588ff2c9 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 53df5cd2e16b111af983a56c0cbe0ff9afa5b691 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN cad27a7f550504d9718e9c45ddfa7195fdcc491d with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN 5430adc88cba83629195399b320e002677edfe02 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN f1a7f6ad1ab21ecbdde716957208c891fc105698 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN 5c7f457d3cf159127a885a0357b0ac5685fc0ce7 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 90189243ee270b78195c153d130a99b1c3889fc7 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 0e48e451230120565620d267e229799a256233dfINVALIDKEY with reason: This invoice is part of batch T111636212 where the key had to be refreshed, and old ones had invalid key.; this should go away in following runs
Ignoring URN 7cce888ca7e27d326d798e49bb16f8ccb599ec36 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 0a1b3034a589ceb08143fb288ca54bf6e2d5cced with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 3ef850ab452fc1a22e1fbe842a186d4f534b0365 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN 8e2a64182cb88701dbef19bd530933805bcc448d with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN d4dd9384cc99cf64b791f119899093bf288afd9d with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN abdb16da9c02bbd44a8849c404d5fe7d519768ec with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
